Combinations,Count
"('HOT WATER', 'PANIYARAM')",10
"('APPLE JUICE', 'VEG BIRIYANI')",10
"('HORLICKS', 'MILK')",10
"('CHAPATHI -1', 'HOT WATER')",10
"('CHICKEN NOODLES', 'COFFEE')",10
"('CHICKEN PODI MASS', 'GHEE DOSA')",10
"('CHICKEN BIRIYANI', 'CHICKEN PODI MASS')",10
"('GHEE DOSA', 'PODI ONION DOSAI')",10
"('CURD VADA', 'MEALS')",10
"('CHICKEN BIRIYANI', 'CHICKEN NOODLES')",10
"('BOURNVITA', 'SAMOSA')",10
"('MEALS', 'PINE APPIE JUICE')",10
"('MASALA DOSAI', 'POMEGRANATE JUICE')",10
"('CHILLI CHICKEN', 'DOSA')",10
"('DAHI PAPADI CHAT', 'TEA')",10
"('BONDA', 'MILK')",10
"('PANIYARAM', 'PINE APPIE JUICE')",10
"('BAAJEE', 'PANI PURI')",10
"('GHEE DOSA', 'POMEGRANATE JUICE')",10
"('CHICKEN FRIED RICE', 'MOSAMBI')",10
"('EGG OMLETTE', 'EXTRA')",10
"('MASALA BONDA', 'SAMOSA')",10
"('POMEGRANATE JUICE', 'WATER BOTTLE')",10
"('PODI ONION DOSAI', 'TEA')",10
"('LEMON JUICE', 'TEA')",10
"('COKE MEDIUM', 'COKE MINI')",10
"('EGG FRIED RICE', 'EGG OMLETTE')",10
"('CHICKEN FRIED RICE', 'COKE MEDIUM')",10
"('CHAPPATHI', 'SPRITE MINI')",10
"('CHICKEN FRIED RICE', 'WATER BOTTLE - 20')",10
"('CHICKEN PODI MASS', 'CHILLI CHICKEN')",10
"('CHICKEN FRIED RICE', 'MASALA DOSAI')",10
"('MOSAMBI', 'PINE APPIE JUICE')",10
"('EGG FRIED NOODLES', 'EGG FRIED RICE')",10
"('CHAPATHI -1', 'TEA')",10
"('MAAZA MINI', 'MOSAMBI')",10
"('PODI DOSA', 'WATER BOTTLE - 20')",10
"('BUTTER MILK', 'SAMBAR RICE')",10
"('IDLY', 'ORANGE JUICE')",10
"('COKE', 'COKE MINI')",10
"('BISCUIT - 10', 'COKE MINI')",10
"('ONION UTHAPPAM', 'POORI')",9
"('CHILLI CHICKEN', 'COFFEE')",9
"('BAAJEE', 'HORLICKS')",9
"('MEALS', 'PANEER FRIED RICE')",9
"('GOBI FRIED RICE', 'MEALS')",9
"('CHICKEN 65', 'MAAZA MINI')",9
"('1CHAPATHI', 'CHAPPATHI')",9
"('CHICKEN BIRIYANI', 'CHILLI CHICKEN')",9
"('BUTTER MILK', 'SAMOSA')",9
"('PANI PURI', 'POMEGRANATE JUICE')",9
"('POORI', 'WATER MELON')",9
"('GHEE DOSA', 'ONION UTHAPPAM')",9
"('CHICKEN PODI MASS', 'COKE MINI')",9
"('MIX CHAT', 'PANI PURI')",9
"('CURD RICE', 'WATER MELON')",9
"('BONDA', 'DOSA')",9
"('VENNILA CONE', 'VENNILA CUP')",9
"('BOOST', 'POMEGRANATE JUICE')",9
"('MASALA PURI', 'SAMOSA')",9
"('CHICKEN BIRIYANI', 'MAAZA MINI')",9
"('ONION UTHAPPAM', 'TEA')",9
"('CHICKEN FRIED RICE', 'WATER BOTTLE')",9
"('PANI PURI', 'SPRITE MINI')",9
"('COKE MINI', 'VADA')",9
"('CHAPPATHI', 'LEMON JUICE')",9
"('COKE MINI', 'EGG OMLETTE')",9
"('CHICKEN FRIED RICE', 'WATER MELON')",9
"('MINI MEALS', 'SAMBAR RICE')",9
"('ONION DOSAI', 'PANIYARAM')",9
"('EGG PODIMAS', 'GHEE DOSA')",9
"('WATER BOTTLE - 10', 'WATER BOTTLE - 20')",9
"('MASALA DOSAI', 'WATER BOTTLE - 10')",9
"('VADA', 'WATER BOTTLE - 10')",9
"('BAG', 'LEMON RICE')",9
"('COKE MINI', 'SEV PURI')",9
"('GOBI FRIED RICE', 'VEG FRIED RICE')",9
"('MEALS', 'WHITE CHICKEN MASALA')",9
"('EGG OMLETTE', 'SAMOSA')",9
"('CHICKEN FRIED RICE', 'CHILLI PARTHA')",9
"('MASALA PURI', 'SEV PURI')",9
"('THAMSUP', 'WATER BOTTLE')",9
"('GHEE DOSA', 'PINE APPIE JUICE')",9
"('MOSAMBI', 'VADA')",9
"('CHICKEN PODI MASS', 'EGG OMLETTE')",9
"('DAHI PURI', 'DOSA')",9
"('BUTTER MILK', 'COFFEE')",9
"('CHAPPATHI', 'PANI PURI')",9
"('BOOST', 'CURD VADA')",9
"('PONGAL', 'UTHAAPPAM')",9
"('PANIYARAM', 'WATER MELON')",9
"('CHICKEN FRIED RICE', 'TEA')",9
"('EGG FRIED RICE', 'MAAZA MINI')",9
"('CHICKEN MANCHURIAN', 'COKE MINI')",9
"('COKE MINI', 'VEG FRIED RICE')",9
"('COKE MINI', 'VENNILA CUP')",9
"('SAMBAR RICE', 'WATER MELON')",8
"('COFFEE', 'OREO MILK SHAKE')",8
"('BOURNVITA', 'GHEE DOSA')",8
"('VEG BIRIYANI', 'WATER BOTTLE')",8
"('MAAZA MINI', 'VEG BIRIYANI')",8
"('ONION UTHAPPAM', 'SAMOSA')",8
"('GOBI FRIED RICE', 'PANEER FRIED RICE')",8
"('CURD VADA', 'SAMBAR RICE')",8
"('CHICKEN FRIED RICE', 'PEPPER CHICKEN')",8
"('BAAJEE', 'WATER BOTTLE - 10')",8
"('PANI PURI', 'WATER BOTTLE - 10')",8
"('IDLY', 'POORI - 1')",8
"('COKE', 'WATER BOTTLE')",8
"('CHICKEN MANCHURIAN', 'CHICKEN NOODLES')",8
"('ORANGE JUICE', 'WATER MELON')",8
"('IDLY', 'MASALA BONDA')",8
"('BHEL PURI', 'DAHI PAPADI CHAT')",8
"('MASALA DOSAI', 'MOSAMBI')",8
"('MAAZA MINI', 'VEG FRIED RICE')",8
"('SAMOSA', 'UTHAAPPAM')",8
"('BAG', 'CHICKEN BIRIYANI')",8
"('DAHI PAPADI CHAT', 'MASALA PURI')",8
"('BUTTER MILK', 'CURD RICE')",8
"('GOBI FRIED RICE', 'SAMBAR RICE')",8
"('MILK', 'VEG FRIED RICE')",8
"('CHICKEN BIRIYANI', 'SEZWAN CHICKEN FRIED RICE')",8
"('CHICKEN 65', 'CHILLI CHICKEN')",8
"('MASALA DOSAI', 'WATER MELON')",8
"('TEA', 'VEG BIRIYANI')",8
"('CURD RICE', 'VADA')",8
"('CHICKEN NOODLES', 'MEALS')",8
"('CHICKEN 65', 'EGG OMLETTE')",8
"('COFFEE', 'ORANGE JUICE')",8
"('EGG OMLETTE', 'MAAZA MINI')",8
"('CHICKEN 65', 'VEG FRIED RICE')",8
"('PONGAL', 'WATER BOTTLE - 20')",8
"('KALAKKI', 'WHITE CHICKEN MASALA')",8
"('CHILLI CHICKEN', 'EGG FRIED RICE')",8
"('CHILLI CHICKEN', 'SEZWAN CHICKEN FRIED RICE')",8
"('CHICKEN FRIED RICE', 'EGG CHILLI PARATHA')",8
"('CHICKEN FRIED RICE', 'PODI DOSA')",8
"('BISCUIT - 10', 'BOOST')",8
"('BISCUIT - 10', 'MOSAMBI')",8
"('DAHI PAPADI CHAT', 'WATER BOTTLE - 20')",8
"('MASALA DOSAI', 'PANI PURI')",8
"('TOMATO RICE', 'VEG FRIED RICE')",8
"('CHANNA MASALA', 'PANI PURI')",8
"('EGG BOILED', 'MEALS')",8
"('CHAPPATHI', 'ORANGE JUICE')",8
"('COFFEE', 'VENNILA CONE')",8
"('MOSAMBI', 'PODI DOSA')",8
"('IDLY', 'WATER MELON')",8
"('COFFEE', 'KALAKKI')",8
"('MILK', 'WATER BOTTLE - 20')",8
"('CHICKEN PODI MASS', 'MAAZA MINI')",8
"('MASALA DOSAI', 'ONION UTHAPPAM')",8
"('EGG BOILED', 'SAMBAR RICE')",8
"('CURD VADA', 'WATER MELON')",8
"('IDIYAPPAM', 'VADA')",8
"('COFFEE', 'PAPER DOSA')",8
"('EGG PODIMAS', 'KALAKKI')",8
"('PODI DOSA', 'WATER BOTTLE')",8
"('EGG OMLETTE', 'ONION UTHAPPAM')",8
"('BOURNVITA', 'MASALA DOSAI')",8
"('CHICKEN BIRIYANI', 'KALAKKI')",8
"('BHEL PURI', 'MAAZA MINI')",8
"('LEMON JUICE', 'SAMOSA')",8
"('PANIYARAM', 'WATER BOTTLE - 10')",8
"('EGG BOILED', 'LEMON RICE')",8
"('LEMON JUICE', 'MOSAMBI')",8
"('COKE MINI', 'COLOURS - 25')",8
"('COKE MINI', 'CURD VADA')",8
"('CHICKEN NOODLES', 'IDLY')",8
"('PANI PURI', 'WATER BOTTLE')",8
"('SAMOSA', 'THAMSUP')",8
"('COKE MINI', 'PODI DOSA')",8
"('CHAPPATHI', 'MINI MEALS')",7
"('CHAPPATHI', 'CHENNA - 10')",7
"('EGG OMLETTE', 'LEMON RICE')",7
"('HOT WATER', 'POMEGRANATE JUICE')",7
"('POORI', 'WATER BOTTLE - 10')",7
"('COKE MEDIUM', 'SPRITE MINI')",7
"('HORLICKS', 'MASALA PURI')",7
"('CHICKEN 65', 'EGG FRIED RICE')",7
"('CHAPATHI -1', 'CHICKEN MASALA')",7
"('CURD RICE', 'CURD VADA')",7
"('HOT WATER', 'UTHAAPPAM')",7
"('CURD VADA', 'HORLICKS')",7
"('BAAJEE', 'COKE MINI')",7
"('MEALS', 'RASAM RICE')",7
"('OREO MILK SHAKE', 'SAMOSA')",7
"('EGG OMLETTE', 'VEG NOODLES')",7
"('CHAPATHI -1', 'CHICKEN PODI MASS')",7
"('COFFEE', 'THAMSUP')",7
"('BOURNVITA', 'POORI')",7
"('MAAZA MINI', 'MILK')",7
"('CHILLI CHICKEN', 'VEG FRIED RICE')",7
"('POMEGRANATE JUICE', 'WHITE CHICKEN MASALA')",7
"('POMEGRANATE JUICE', 'WATER BOTTLE - 10')",7
"('CHICKEN NOODLES', 'SEZWAN CHICKEN FRIED RICE')",7
"('COKE MINI', 'MASALA PURI')",7
"('COFFEE', 'COKE')",7
"('BOOST', 'PANI PURI')",7
"('BAG', 'WATER BOTTLE')",7
"('BOOST', 'DAHI PURI')",7
"('DOSA', 'KALAKKI')",7
"('CHAPPATHI', 'EGG FRIED NOODLES')",7
"('CURD VADA', 'WATER BOTTLE')",7
"('DOSA', 'VEG NOODLES')",7
"('CURD VADA', 'TOMATO RICE')",7
"('EGG OMLETTE', 'SEZWAN CHICKEN FRIED RICE')",7
"('EXTRA', 'KALAKKI')",7
"('BHEL PURI', 'DOSA')",7
"('MAAZA MINI', 'SPRITE MEDIUM')",7
"('CHICKEN FRIED RICE', 'LEMON RICE')",7
"('BOOST', 'MOSAMBI')",7
"('PANI PURI', 'SAMOSA CHAT')",7
"('MASALA DOSAI', 'PINE APPIE JUICE')",7
"('BUTTER MILK', 'WHITE CHICKEN MASALA')",7
"('CHENNA - 10', 'SAMOSA')",7
"('BISCUIT - 10', 'HORLICKS')",7
"('COFFEE', 'EGG PODIMAS')",7
"('GHEE DOSA', 'MASALA PURI')",7
"('ONION DOSAI', 'WATER MELON')",7
"('CHICKEN FRIED RICE', 'COKE')",7
"('COFFEE', 'SAMOSA CHAT')",7
"('APPLE JUICE', 'MILK')",7
"('CHICKEN FRIED RICE', 'SPRITE MINI')",7
"('CHICKEN FRIED RICE', 'SAMOSA')",7
"('CHICKEN FRIED RICE', 'OREO MILK SHAKE')",7
"('EXTRA', 'WATER BOTTLE')",7
"('ONION UTHAPPAM', 'PODI DOSA')",7
"('BAAJEE', 'WATER BOTTLE - 20')",7
"('CHAPPATHI', 'OREO MILK SHAKE')",7
"('BOURNVITA', 'PANIYARAM')",7
"('BAG', 'COFFEE')",7
"('IDIYAPPAM', 'TEA')",7
"('BOURNVITA', 'WATER BOTTLE - 10')",7
"('DOSA', 'IDIYAPPAM')",7
"('SAMOSA', 'VENNILA CONE')",7
"('BUTTER MILK', 'VEG FRIED RICE')",7
"('GHEE PODI DOSA', 'PODI DOSA')",7
"('CHAPATHI -1', 'COFFEE')",7
"('COKE MEDIUM', 'WATER BOTTLE')",7
"('MILK', 'PODI DOSA')",7
"('COKE MINI', 'WATER MELON')",7
"('BHEL PURI', 'CHANNA MASALA')",7
"('ONION DOSAI', 'PONGAL')",7
"('BISCUIT - 10', 'WATER BOTTLE')",7
"('ONION DOSAI', 'POMEGRANATE JUICE')",7
"('APPLE JUICE', 'PANI PURI')",7
"('SPRITE MINI', 'WATER BOTTLE')",7
"('COFFEE', 'GOBI FRIED RICE')",7
"('DAHI PURI', 'HORLICKS')",7
"('ALOO PARATHA', 'CURD VADA')",6
"('BAG', 'IDIYAPPAM')",6
"('ALOO PARATHA', 'SAMOSA')",6
"('CHAPATHI -1', 'POORI')",6
"('CHILLI CHICKEN', 'DAHI PURI')",6
"('BAAJEE', 'DAHI PURI')",6
"('EGG BOILED', 'VEG FRIED RICE')",6
"('MOSAMBI', 'VEG BIRIYANI')",6
"('BAAJEE', 'PINE APPIE JUICE')",6
"('CHICKEN NOODLES', 'MASALA DOSAI')",6
"('EGG FRIED RICE', 'PANI PURI')",6
"('CHICKEN MANCHURIAN', 'EGG OMLETTE')",6
"('CHICKEN FRIED RICE', 'SAMBAR RICE')",6
"('COKE MINI', 'PINE APPIE JUICE')",6
"('CHICKEN 65', 'GHEE DOSA')",6
"('BAG', 'VEG FRIED RICE')",6
"('PINE APPIE JUICE', 'PODI DOSA')",6
"('BOOST', 'MAAZA MINI')",6
"('VEG FRIED RICE', 'WATER BOTTLE - 20')",6
"('CHICKEN NOODLES', 'SAMOSA')",6
"('ALOO PARATHA', 'TEA')",6
"('APPLE JUICE', 'HOT WATER')",6
"('POMEGRANATE JUICE', 'PONGAL')",6
"('EXTRA', 'MAAZA MINI')",6
"('DOSA', 'LEMON JUICE')",6
"('DAHI PURI', 'MAAZA MINI')",6
"('CHICKEN MANCHURIAN', 'EGG FRIED RICE')",6
"('BAG', 'MASALA DOSAI')",6
"('MILK', 'MOSAMBI')",6
"('CHICKEN BIRIYANI', 'VEG FRIED RICE')",6
"('EGG BOILED', 'EGG OMLETTE')",6
"('CHICKEN FRIED RICE', 'PANEER FRIED RICE')",6
"('BAAJEE', 'EGG OMLETTE')",6
"('BOOST', 'WATER BOTTLE - 20')",6
"('EGG FRIED RICE', 'GHEE DOSA')",6
"('SAMBAR RICE', 'VADA')",6
"('SPRITE MINI', 'WATER BOTTLE - 20')",6
"('PAPER DOSA', 'SAMOSA')",6
"('PANI PURI', 'WATER MELON')",6
"('EXTRA', 'VEG FRIED RICE')",6
"('BOOST', 'MASALA PURI')",6
"('MASALA PURI', 'PINE APPIE JUICE')",6
"('PANI PURI', 'PINE APPIE JUICE')",6
"('MEALS', 'PARATHA')",6
"('CHILLI CHICKEN', 'GHEE DOSA')",6
"('BUTTER SCOTCH MINI', 'COFFEE')",6
"('EGG PODIMAS', 'WATER BOTTLE')",6
"('BAG', 'SAMOSA')",6
"('SPRITE MINI', 'TEA')",6
"('VEG FRIED RICE', 'VEG HAKKA NOODLES')",6
"('MILK', 'ONION DOSAI')",6
"('PANIYARAM', 'WATER BOTTLE - 20')",6
"('CURD RICE', 'GOBI FRIED RICE')",6
"('CURD RICE', 'WHITE CHICKEN MASALA')",6
"('EGG OMLETTE', 'GOBI FRIED RICE')",6
"('MASALA DOSAI', 'PODI ONION DOSAI')",6
"('GHEE DOSA', 'SPRITE MINI')",6
"('CHICKEN 65', 'DOSA')",6
"('PODI ONION DOSAI', 'POORI')",6
"('VEG BIRIYANI', 'WATER MELON')",6
"('BUTTER MILK', 'EGG OMLETTE')",6
"('IDLY', 'SPRITE MINI')",6
"('MAAZA', 'SAMBAR RICE')",6
"('BONDA', 'HORLICKS')",6
"('CHAPPATHI', 'VEG HAKKA NOODLES')",6
"('CHICKEN FRIED RICE', 'MILK')",6
"('BISCUIT - 10', 'SPRITE MINI')",6
"('ONION UTHAPPAM', 'UTHAAPPAM')",6
"('GHEE PODI DOSA', 'MASALA DOSAI')",6
"('MEALS', 'SPRITE MINI')",6
"('CHAPPATHI', 'CHICKEN BRIYANI')",6
"('CHICKEN BIRIYANI', 'VEG BIRIYANI')",6
"('CHICKEN MANCHURIAN', 'CHILLI CHICKEN')",6
"('CHICKEN BIRIYANI', 'EGG PODIMAS')",6
"('HOT WATER', 'VEG BIRIYANI')",6
"('CHICKEN BIRIYANI', 'POMEGRANATE JUICE')",6
"('CHICKEN BIRIYANI', 'TOMATO RICE')",6
"('CHICKEN CHILLI PARATHA', 'KALAKKI')",6
"('CHILLI CHICKEN', 'MEALS')",6
"('BOURNVITA', 'HORLICKS')",6
"('DAHI PURI', 'MASALA DOSAI')",6
"('CHICKEN MANCHURIAN', 'GHEE DOSA')",6
"('EXTRA', 'MASALA DOSAI')",6
"('GOBI MANCHURIAN', 'SAMBAR RICE')",6
"('MEALS', 'WATER BOTTLE - 10')",6
"('PODI DOSA', 'WATER BOTTLE - 10')",6
"('COLD BOOST', 'SAMOSA')",6
"('EGG BOILED', 'SAMOSA')",6
"('CHILLI PARTHA', 'COFFEE')",6
"('COFFEE', 'VENNILA CUP')",6
"('DOSA', 'ORANGE JUICE')",6
"('COKE', 'SPRITE MINI')",6
"('BAAJEE', 'MOSAMBI')",6
"('IDLY', 'PINE APPIE JUICE')",6
"('MAAZA MINI', 'SEV PURI')",6
"('APPLE JUICE', 'COKE MINI')",6
"('CHANNA SAMOSA', 'PANI PURI')",6
"('BUTTER MILK', 'EXTRA')",6
"('BUTTER MILK', 'GOBI FRIED RICE')",6
"('COKE MEDIUM', 'SAMOSA')",6
"('DAHI PAPADI CHAT', 'MAAZA MINI')",6
"('EGG FRIED RICE', 'WATER BOTTLE - 20')",6
"('EGG BOILED', 'EXTRA')",6
"('BAAJEE', 'BOURNVITA')",6
"('ONION DOSAI', 'ONION UTHAPPAM')",6
"('CURD RICE', 'MINI MEALS')",6
"('CHICKEN PODI MASS', 'CURD RICE')",6
"('SAMBAR RICE', 'WATER BOTTLE - 20')",6
"('CHAPPATHI', 'PANEER MANCHURIAN')",6
"('BUTTER MILK', 'CHICKEN PODI MASS')",6
"('COKE MINI', 'SAMBAR RICE')",6
"('COFFEE', 'PANEER PARATHA')",6
"('RASAM RICE', 'TOMATO RICE')",6
"('ALOO PARATHA', 'DOSA')",6
"('LEMON JUICE', 'WATER MELON')",6
"('CHAPPATHI', 'EGG BOILED')",6
"('BISCUIT - 10', 'IDLY')",6
"('LEMON RICE', 'POMEGRANATE JUICE')",6
"('IDLY', 'PAROTTA')",6
"('CHICKEN 65', 'COKE MEDIUM')",5
"('CHICKEN FRIED RICE', 'THAMSUP')",5
"('BAAJEE', 'MASALA DOSAI')",5
"('LEMON JUICE', 'MASALA DOSAI')",5
"('MASALA DOSAI', 'MILK')",5
"('CHICKEN MANCHURIAN', 'DOSA')",5
"('BUTTER SCOTCH MINI', 'SAMOSA')",5
"('BISCUIT - 10', 'BUTTER SCOTCH MINI')",5
"('BISCUIT - 10', 'HOT WATER')",5
"('CHILLI CHICKEN', 'SPRITE MINI')",5
"('PODI ONION DOSAI', 'VADA')",5
"('BONDA', 'POMEGRANATE JUICE')",5
"('GHEE DOSA', 'WATER BOTTLE - 10')",5
"('CHICKEN PODI MASS', 'WATER MELON')",5
"('EGG OMLETTE', 'WATER MELON')",5
"('HOT WATER', 'VEG FRIED RICE')",5
"('EGG BOILED', 'TOMATO RICE')",5
"('CHICKEN BIRIYANI', 'EGG FRIED RICE')",5
"('HORLICKS', 'SEV PURI')",5
"('EXTRA', 'POMEGRANATE JUICE')",5
"('CHILLI CHICKEN', 'VEG NOODLES')",5
"('COKE MINI', 'POORI')",5
"('BAAJEE', 'BISCUIT - 10')",5
"('COFFEE', 'MAAZA')",5
"('GOBI MANCHURIAN', 'VEG NOODLES')",5
"('CHICKEN PODI MASS', 'GOBI FRIED RICE')",5
"('BAAJEE', 'MASALA BONDA')",5
"('BISCUIT - 10', 'POMEGRANATE JUICE')",5
"('IDIYAPPAM', 'PONGAL')",5
"('PINE APPIE JUICE', 'WATER BOTTLE - 10')",5
"('BOOST', 'WATER BOTTLE - 10')",5
"('VEG BIRIYANI', 'WATER BOTTLE - 20')",5
"('DAHI PURI', 'WATER MELON')",5
"('MAAZA MINI', 'TOMATO RICE')",5
"('TEA', 'VENNILA CONE')",5
"('MOSAMBI', 'VEG FRIED RICE')",5
"('COFFEE', 'EGG FRIED NOODLES')",5
"('CHICKEN NOODLES', 'VEG FRIED RICE')",5
"('CHICKEN BRIYANI', 'MEALS')",5
"('CHAPATHI -1', 'CHILLI CHICKEN')",5
"('CHAPATHI -1', 'WATER BOTTLE - 10')",5
"('BAG', 'TEA')",5
"('CHICKEN BRIYANI', 'CHICKEN FRIED RICE')",5
"('ONION DOSAI', 'RAVA DOSA')",5
"('CHILLI CHICKEN', 'PANI PURI')",5
"('CHAPPATHI', 'COKE')",5
"('BONDA', 'VEG FRIED RICE')",5
"('BAAJEE', 'VADA')",5
"('CHICKEN NOODLES', 'WATER BOTTLE - 20')",5
"('EGG FRIED NOODLES', 'EGG OMLETTE')",5
"('CHICKEN BIRIYANI', 'CHICKEN CHILLI PARATHA')",5
"('BOOST', 'EGG PODIMAS')",5
"('COFFEE', 'LEMONJUICE')",5
"('COLD BOOST', 'DOSA')",5
"('EGG PODIMAS', 'MASALA DOSAI')",5
"('APPLE JUICE', 'MASALA DOSAI')",5
"('GHEE ONION PODI DOSA', 'VADA')",5
"('CHICKEN CHILLI PARATHA', 'MAAZA MINI')",5
"('CURD RICE', 'PANEER FRIED RICE')",5
"('COFFEE', 'IDIYAPPAM')",5
"('CHAPPATHI', 'MASALA PURI')",5
"('COFFEE', 'SEZWAN CHICKEN FRIED RICE')",5
"('BOOST', 'PINE APPIE JUICE')",5
"('CHICKEN FRIED RICE', 'HOT WATER')",5
"('MILK', 'UTHAAPPAM')",5
"('CHICKEN CHILLI PARATHA', 'COKE MINI')",5
"('GHEE DOSA', 'GHEE PODI DOSA')",5
"('HORLICKS', 'WATER BOTTLE')",5
"('CHANNA MASALA', 'COFFEE')",5
"('ORANGE JUICE', 'POMEGRANATE JUICE')",5
"('EXTRA', 'PODI DOSA')",5
"('CHAPPATHI', 'EGG MASALA')",5
"('CURD VADA', 'ONION UTHAPPAM')",5
"('BAG', 'MEALS')",5
"('DOSA', 'GOBI FRIED RICE')",5
"('BUTTER SCOTCH', 'PANIYARAM')",5
"('CHICKEN FRIED RICE', 'MASALA PURI')",5
"('CHILLI PARTHA', 'PODI DOSA')",5
"('BUTTER SCOTCH', 'MANGO ZAP')",5
"('CURD VADA', 'EXTRA')",5
"('EGG PODIMAS', 'WHITE CHICKEN MASALA')",5
"('CHAPATHI -1', 'SAMOSA')",5
"('CHICKEN FRIED RICE', 'WATER BOTTLE - 10')",5
"('CHICKEN FRIED RICE', 'PINE APPIE JUICE')",5
"('CHICKEN MANCHURIAN', 'SPRITE MINI')",5
"('CHICKEN MANCHURIAN', 'VEG NOODLES')",5
"('COFFEE', 'MASALA CHILI BAAJEE')",5
"('ORANGE JUICE', 'PINE APPIE JUICE')",5
"('MOSAMBI', 'TOMATO RICE')",5
"('COKE', 'DOSA')",5
"('CHANNA MASALA', 'DAHI PURI')",5
"('APPLE JUICE', 'EGG FRIED RICE')",5
"('RAVA DOSA', 'VADA')",5
"('EGG PODIMAS', 'PANIYARAM')",5
"('PANI PURI', 'WATER BOTTLE - 20')",5
"('DAHI PURI', 'SAMOSA')",5
"('LEMON RICE', 'VEG FRIED RICE')",5
"('CURD VADA', 'WATER BOTTLE - 10')",5
"('BOOST', 'MILK')",5
"('APPLE JUICE', 'LEMON RICE')",5
"('IDLY', 'PANI PURI')",5
"('CHICKEN BIRIYANI', 'COKE')",5
"('BUTTER SCOTCH', 'TEA')",5
"('CHICKEN PODI MASS', 'DAHI PURI')",5
"('CHICKEN FRIED RICE', 'SEZWAN CHICKEN FRIED NOODLES')",5
"('GOBI MANCHURIAN', 'VEG BIRIYANI')",5
"('DAHI PURI', 'IDLY')",5
"('KALAKKI', 'SAMBAR RICE')",5
"('CURD VADA', 'PODI ONION DOSAI')",5
"('EGG FRIED RICE', 'POMEGRANATE JUICE')",5
"('BISCUIT - 5', 'BOOST')",5
"('COFFEE', 'MIX CHAT')",5
"('POMEGRANATE JUICE', 'TOMATO RICE')",5
"('CHICKEN BRIYANI', 'WHITE CHICKEN MASALA')",5
"('CHICKEN PODI MASS', 'DOSA')",5
"('CURD RICE', 'HOT WATER')",5
"('BAG', 'TOMATO RICE')",5
"('EGG OMLETTE', 'PANI PURI')",5
"('DOSA', 'MASALA PURI')",5
"('CHILLI CHICKEN', 'WATER MELON')",5
"('CHILLI CHICKEN', 'KALAKKI')",5
"('MOSAMBI', 'ORANGE JUICE')",5
"('MASALA CHILI BAAJEE', 'TEA')",5
"('EXTRA', 'HOT WATER')",5
"('MAAZA MINI', 'VEG NOODLES')",5
"('COFFEE', 'EGG CHILLI PARATHA')",5
"('CHICKEN PODI MASS', 'WATER BOTTLE')",5
"('PANIYARAM', 'VEG NOODLES')",5
"('CHILLI CHICKEN', 'MASALA DOSAI')",5
"('CHAPATHI -1', 'CHICKEN FRIED RICE')",4
"('CHICKEN PODI MASS', 'WATER BOTTLE - 20')",4
"('EGG FRIED RICE', 'HOT WATER')",4
"('BUTTER MILK', 'LEMON RICE')",4
"('LEMON RICE', 'VADA')",4
"('PANIYARAM', 'SPRITE MINI')",4
"('DAHI PAPADI CHAT', 'MASALA DOSAI')",4
"('ONION DOSAI', 'UTHAAPPAM')",4
"('CHICKEN NOODLES', 'SPRITE MINI')",4
"('CHICKEN PODI MASS', 'MEALS')",4
"('EGG FRIED RICE', 'TEA')",4
"('BISCUIT - 10', 'WATER BOTTLE - 20')",4
"('DOSA', 'VEG HAKKA NOODLES')",4
"('GHEE DOSA', 'GOBI MANCHURIAN')",4
"('DOSA', 'GOBI MANCHURIAN')",4
"('DOSA', 'EGG KALAKKI')",4
"('TEA', 'VENNILA CUP')",4
"('APPLE JUICE', 'CHICKEN FRIED RICE')",4
"('MAAZA MINI', 'WATER MELON')",4
"('OREO MILK SHAKE', 'POMEGRANATE JUICE')",4
"('CHILLI PARTHA', 'EXTRA')",4
"('MAAZA MINI', 'MASALA PURI')",4
"('CHILLI PARTHA', 'VEG FRIED RICE')",4
"('COLD COFFEE', 'TEA')",4
"('CHILLI PARTHA', 'GOBI FRIED RICE')",4
"('VENNILA CUP', 'WATER BOTTLE - 20')",4
"('BUTTER MILK', 'CHICKEN BIRIYANI')",4
"('CHICKEN PODI MASS', 'EGG PODIMAS')",4
"('BOURNVITA', 'CHAPPATHI')",4
"('EGG FRIED RICE', 'EGG PODIMAS')",4
"('ORANGE JUICE', 'PODI DOSA')",4
"('BUTTER SCOTCH MINI', 'PANI PURI')",4
"('GOBI MANCHURIAN', 'MEALS')",4
"('COLOURS - 25', 'MAAZA MINI')",4
"('COFFEE', 'COLOURS - 25')",4
"('BISCUIT - 10', 'VADA')",4
"('LEMONJUICE', 'MASALA DOSAI')",4
"('LEMON RICE', 'TEA')",4
"('COKE', 'SAMOSA')",4
"('CHICKEN NOODLES', 'CURD RICE')",4
"('COKE MEDIUM', 'PANI PURI')",4
"('CHILLI CHICKEN', 'IDLY')",4
"('CHICKEN BRIYANI', 'CHICKEN NOODLES')",4
"('BUTTER MILK', 'KALAKKI')",4
"('CHAPPATHI', 'POORI - 1')",4
"('BUTTER MILK', 'VEG BIRIYANI')",4
"('EGG OMLETTE', 'GOBI MANCHURIAN')",4
"('BAAJEE', 'HOT WATER')",4
"('COKE MINI', 'EGG CHILLI PARATHA')",4
"('LEMON JUICE', 'SAMBAR RICE')",4
"('HORLICKS', 'ONION DOSAI')",4
"('LEMON JUICE', 'POMEGRANATE JUICE')",4
"('COKE MINI', 'WHITE CHICKEN MASALA')",4
